Seq,Inbred Line,Accesion N,accenumb,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
2243,H113,Ames26803,Ames 26803,Indiana,unclassified,0,H60,H55,0,0,INBRED,0,,,,,51E
2254,H121,Ames26804,Ames 26804,Indiana,unclassified,0,Synthetic HCBSA,0,0,0,INBRED,HDSSS(FG)C1 and HDSCB(FG)C1 were developed by crossing unreleased inbred lines selected for hard endosperm kernels with the synthetic populations BSSS(R)C11 and BSCB1(R)C11,,,,,CH539-9
2259,H122W,Ames26805,Ames 26805,Indiana,unclassified,0,H122W_2,B73,0,0,INBRED,,,,,,S8324_1
2263,H124W,Ames26806,Ames 26806,Indiana,unclassified,0,HwhiteSynthetic_D,0,0,0,INBRED, ,,,,,S8324_2
2482,Ill.Hy,Ames26808,Ames 26808,Other,stiff stalk,0,IllinoisHighYield ,IllinoisHighYield,0,0,INBRED,Same as Inbred Hy,,,,,S8324_3
2718,Mo41,Ames26909,Ames 26909,Missouri,unclassified,0,C103,Mo17,0,0,INBRED,Mo17 X C103 3rd Cycle,,,,,S8326_1
1315,CH705-8,Ames27017,Ames 27017,Harrow CA,unclassified,0,FunksG4220,0,0,0,INBRED,Funks hybrid G4220,,,,,S8326_2
1316,CH711-10,Ames27018,Ames 27018,Harrow CA,unclassified,0,Pioneer3773,0,0,0,INBRED,0,,,,,S8326_3
1320,CH732-12,Ames27019,Ames 27019,Harrow CA,unclassified,0,CH732_1,B14,0,0,INBRED,0,,,,,Sallu-yah(Cherokee)
1323,CH741-6,Ames27020,Ames 27020,Harrow CA,unclassified,0,CH591-36,CH591-23,0,0,INBRED,0,,,,,GT112_1
1324,CH753-4,Ames27021,Ames 27021,Harrow CA,unclassified,0,A635 ,A636,0,0,INBRED,0,,,,,
1422,CL17,Ames27024,Ames 27024,Ontario,unclassified,0,CL_Composite,0,0,0,INBRED,,,,,,SC213_1
1423,CL18,Ames27025,Ames 27025,Ontario,unclassified,0,CL_Composite,0,0,0,INBRED, ,,,,,
1424,CL19,Ames27026,Ames 27026,Ontario,unclassified,0, ,0,0,0,INBRED,Unknown Pedigree,,,,,Shoepeg
1427,CL20,Ames27027,Ames 27027,Other,unclassified,0,Prides,CL20_1,0,0,INBRED,[Prides' X (New England Flint X Zachtecas 58)],,,,,TENNESSEEREDCOB
1428,CL22,Ames27028,Ames 27028,Ontario,unclassified,0,Prides,CL20_1,0,0,INBRED,0,,,,,WHITEDENT
1431,CL27,Ames27029,Ames 27029,Ontario,unclassified,0,CL27_1,CL27_2,0,0,INBRED,[(CO106 X CO109) X (New England Flint OA X ACA179)],,,,,WhiteSurecropper
1445,CM99,Ames27031,Ames 27031,Other,unclassified,0,CM105_1,B14,0,0,INBRED,0,,,,,WOODSDIXIE
1434,CM145,Ames27032,Ames 27032,Other,unclassified,0,CM145_1,B14,0,0,INBRED,0,,,,,WoosterClarage
1436,CM151,Ames27033,Ames 27033,Other,stiff stalk,0,CM151_1,Wf9,0,0,INBRED,0,,,,,YellowNealPaymaster
1437,CM155,Ames27034,Ames 27034,Other,unclassified,0,Wf9 ,Mt42,0,0,INBRED,0,,,,,YellowSurecropper
1438,CM169,Ames27035,Ames 27035,Other,unclassified,0,CM105_1,B14,0,0,INBRED,BC1 self,,,,,MexicianDeepKernel
1440,CM182,Ames27036,Ames 27036,Other,unclassified,0,Wisconsin25,B8,0,0,INBRED,0,,,,,A635X
1441,CM234,Ames27037,Ames 27037,Other,unclassified,0,Wisconsin25,B8,0,0,INBRED,0,,,,,B37HT
1432,CMV3,Ames27038,Ames 27038,Other,unclassified,1,A21,W185,0,0,INBRED,0,,,,,GOLDENQUEEN
1713,CO117,Ames27039,Ames 27039,Ontario,unclassified,0,Pioneer6124,0,0,0,INBRED,0, ,,,,VA29
1715,CO120,Ames27040,Ames 27040,Ontario,unclassified,0,DK46,0,0,0,INBRED,0,,,,,VA59_1
1717,CO150,Ames27041,Ames 27041,Ontario,unclassified,0,Pioneer6124,0,0,0,INBRED,0,,,,,VA59_2
1718,CO158,Ames27042,Ames 27042,Ontario,unclassified,0,DK46,0,0,0,INBRED,0,,,,,VA59_3
1725,CO192,Ames27043,Ames 27043,Ontario,unclassified,0,CO192_3,1S2,0,0,INBRED,BC3 selfed,,,,,VA59_4
1726,CO216,Ames27044,Ames 27044,Ontario,unclassified,0,Pride,0,0,0,INBRED,0,,,,,
1730,CO220,Ames27045,Ames 27045,Ontario,unclassified,1,CO220_2,CO109,3,2,INBRED,0,,,,,C123HT
1731,CO236,Ames27046,Ames 27046,Ontario,unclassified,0,Pride5,0,0,0,INBRED,0,,,,,RB14HTA_1
1732,CO237,Ames27047,Ames 27047,Ontario,unclassified,0,59-946-1370-7-28 ,0,0,0,INBRED,self out of parent from Pennsylvania State University,,,,,RB14HTA_2
1734,CO245,Ames27048,Ames 27048,Ontario,unclassified,0,INRA260,0,0,0,Inbred,Self our of INRA 260,,,,,RB14HTA_3
1737,CO252,Ames27049,Ames 27049,Ontario,unclassified,0,CO252_1,CO106,0,0,INBRED,BC1 self,,,,,RB14HTA_4
1747,CO256,Ames27051,Ames 27051,Ontario,stiff stalk,0,BSSS,0,0,0,INBRED,0,,,,,RB14HTA_5
1748,CO257,Ames27052,Ames 27052,Ontario,stiff stalk,0,BSSS,0,0,0,INBRED,0,,,,,RB14HTA
1749,CO258,Ames27053,Ames 27053,Ontario,stiff stalk,0,BSSS,0,0,0,INBRED,0,,,,,RB14HTB_1
1764,CSJ2,Ames27056,Ames 27056,Ontario,unclassified,0,CA_SynA,0,0,0,INBRED,0,,,,,RB14HTB_2
1765,CSJ3,Ames27057,Ames 27057,Ontario,unclassified,0,CA_SynA,0,0,0,INBRED,0,,,,,RB14HTB_3
847,A6,Ames27062,Ames 27062,Other,unclassified,1,MinnesotaNo13,MinnesotaNo13,2,5,INBRED,0,,,,,RB14HTB_4
764,A272,Ames27063,Ames 27063,Other,unclassified,0,A375,A272_3,0,0,INBRED,0,,,,,RB14HTB_5
803,A441-5,Ames27064,Ames 27064,South Africa,unclassified,0,0,0,0,0,0,0,,,,,RB14HTB
1239,B73Htrhm,Ames27065,Ames 27065,Other,stiff stalk,0,B73,0,0,0,INBRED,0,,,,,6103_2
1193,B164 (B164-886),Ames27066,Ames 27066,Other,stiff stalk,0,0,0,0,0,INBRED,TroyerReid (developed by Pioneer from S2 material received from Purdue),,,,,6103_1
1307,C49A,Ames27067,Ames 27067,Other,unclassified,1,0,0,1,1,INBRED UNKNOWN PEIDGREE,0,,,,,1061_1
1312,CH9,Ames27068,Ames 27068,Harrow CA,unclassified,1,FUNK176A,FUNK176A,0,0,INBRED,0,,,,,1061
1314,CH701-30,Ames27069,Ames 27069,Harrow CA,unclassified,0,0,0,0,0,INBRED,0,,,,,PB80_1
1444,CM7,Ames27070,Ames 27070,Other,unclassified,1,W85,CMV3,1,1,INBRED,0,,,,,3J3
1691,CML5,Ames27071,Ames 27071,Mexico,tropical,0,Pop21,0,0,0,INBRED,P21C5HC133-1-B-ff-###,,,,,5P9_1
1447,CML10,Ames27072,Ames 27072,Mexico,tropical,0,Pop21,0,0,0,INBRED,Pob21C5HC219-3-2-2-3-B-2-2-###,"Population 21 is also named Tuxpeno-1 and its components are Tuxpeno race collections Veracruz 48, Veracruz 143, Veracruz 174, Michoacan 137, Michoacan 166, V-520C, Colima Group 1-Mix.1, and 16 families from the tropical late white dent pool (Pool 24)",,,,MDF_13A
1460,CML14,Ames27074,Ames 27074,Mexico,tropical,0,Pop21,0,0,0,Population,Pob21TUXP.SELSEQ.35-4-3-B,,,,,A2E
1468,CML16,Ames27075,Ames 27075,Mexico,tropical,0,Pop22,0,0,0,INBRED,P 22HC100(S2)-20-3-BBB-ff-BBB,,,,,4780
1665,CML45,Ames27076,Ames 27076,Mexico,tropical,0,Pop45,0,0,0,INBRED,P 43.AC7643-17-1-1-BBB-ff-#-BBB,"Population 45 is also named Amarillo Bajio and its components are Inbred lines from Purdue University, US 13, Pfizer hybrids 347, 381, 383, 409, 418, Hixanth., CBC Nebraska, Iowa stiff stalk synthetic, Tuxpe?o, Cuban flints, Puerto Rico composite, and collections from Dominican Republic",,,,2MA22
1698,CML56,Ames27077,Ames 27077,Mexico,tropical,0,Pool24,0,0,0,INBRED,G 24(TSR)-29-B-ff-####-BBB,,,,,LuxJohnsonCountyWhite
1700,CML61,Ames27078,Ames 27078,Mexico,tropical,0,Pop21,0,0,0,INBRED,P21C5F57-1-1-3-B1#B1-B1#B1-B1,,,,,Outcross in line from 176A
1709,CML91,Ames27079,Ames 27079,Mexico,tropical,0,Pop42,0,0,0,INBRED,P42C4HC101-3-1-B-###,,,,,4676A
1710,CML92,Ames27080,Ames 27080,Mexico,tropical,0,Pop42,0,0,0,INBRED,P42C4HC123-3-2-2-2-##,,,,,IOWALONGEAR
1450,CML103,Ames27081,Ames 27081,Mexico,tropical,0,Pop44,0,0,0,INBRED,P 44C4HC101-3-#1-1-B-###,,,,,H4106
1452,CML108,Ames27082,Ames 27082,Mexico,tropical,0,Pop44,0,0,0,INBRED,Pob44(STE)C1HC59-3-1-4-4-BB,,,,,4301
1464,CML154Q,Ames27083,Ames 27083,Mexico,tropical,0,Pop62,0,0,0,INBRED,[EV8762-SR]-17-1-BB-#-BBBB-B,,,,,4726
1465,CML157Q,Ames27084,Ames 27084,Mexico,tropical,0,Pop62,0,0,0,INBRED,P 62C1HC24-5-3-2-1-B-2-1-1-B-#-BBBB-B,,,,,78060A
1466,CML158Q,Ames27085,Ames 27085,Mexico,tropical,0,Pop62,0,0,0,INBRED,[EV8762-SR]-2-1-B-1-B-#-BBBB-B,,,,,W37_2
1494,CML218,Ames27086,Ames 27086,Mexico,tropical,0,0,0,0,0,INBRED,{EV8730-SR(BC6)]-47-1-1-4-#-b,,,,,87916W_1
1498,CML220,Ames27087,Ames 27087,Mexico,tropical,0,0,0,0,0,INBRED,[EV8730-SR(BC6)]-324-1-1-2-#-b,,,,,
1504,CML228,Ames27088,Ames 27088,Mexico,tropical,0,SUWAN1,0,0,0,INBRED,EV88SUWAN1-SR(BC5)-201-1-1-b-b,,,,,
1512,CML238,Ames27089,Ames 27089,Mexico,tropical,0,0,0,0,0,INBRED,[LB1)8232-SR(BC3)]-229-1-1-1-b,,,,,
1522,CML258,Ames27090,Ames 27090,Mexico,tropical,0,Pop21,0,0,0,INBRED,P 21C5HC218-2-3-B-###-B-1-BBB-f,,,,,
1523,CML261,Ames27091,Ames 27091,Mexico,tropical,0,Pop21,0,0,0,INBRED,P 21C6S1MH177-2-B-4-2-1-BB-f,,,,,
1539,CML281,Ames27092,Ames 27092,Mexico,tropical,0,Pop43,0,0,0,INBRED,(43*PORILLO8043)-5-1-2-2-BB-F,,,,,
1561,CML311,Ames27093,Ames 27093,Mexico,tropical,0,Pop500,0,0,0,INBRED,5B9500 F2Â·2-2Â·2-BÂ·5,,,,,
1564,CML314,Ames27094,Ames 27094,Mexico,tropical,0,Pop601,0,0,0,INBRED,P601-c0F14-2-1-2-B-5,,,,,
1573,CML321,Ames27095,Ames 27095,Mexico,tropical,0,Pop502,0,0,0,INBRED,P502cOF1-1-3-1-BÂ·4,,,,,
1574,CML322,Ames27096,Ames 27096,Mexico,tropical,0,recyW,0,0,0,INBRED,89[L/LMBR]17-B-5-3-1-4-B*4,,,,,
1576,CML323,Ames27097,Ames 27097,Mexico,tropical,0,Pop33,0,0,0,INBRED,"P33c2(STE).102-2-B-2-B-1-8""3",,,,,
1581,CML328,Ames27098,Ames 27098,Mexico,tropical,0,recyY,0,0,0,INBRED,89/HTSG29-1/TEYFDMRJ]#-96-1-2-B*3,,,,,
1585,CML331,Ames27099,Ames 27099,Mexico,tropical,0,recyW,0,0,0,INBRED,89[SUWAN8422]/[P47s3/Mp78:518]#-183-1-2-1-2-2-B-#-B-B,,,,,
1586,CML332,Ames27100,Ames 27100,Mexico,tropical,0,recyW,0,0,0,INBRED,89[SUWAN8422]/[P47s3/Mp78:518]#-183-1-7-3-1-2-B-#-B-B,,,,,
1587,CML333,Ames27101,Ames 27101,Mexico,tropical,0,Pop590,0,0,0,INBRED,P 590C3F373-1-1-7-B-#-5-2-B-#-B,,,,,
1746,CO255,Ames27101,Ames 27101,Ontario,unclassified,0,Inra258,0,0,0,INBRED,0,,,,,
1595,CML341,Ames27102,Ames 27102,Mexico,tropical,0,Pop43,0,0,0,INBRED,LP SEQC3-H1-2-2-2-1-1-#-#-B-B,,,,,
899,CO106,Ames27105,Ames 27105,Ontario,unclassified,1,0,0,1,1,INBRED ,SAME AS University of Wisconsin CR11,,,,,
1716,CO125,Ames27106,Ames 27106,Ontario,unclassified,0,Unknown,0,0,0,INBRED,Unknown Peidgree,,,,,
1767,D940Y,Ames27108,Ames 27108,South Africa,unclassified,0,0,0,0,0,INBRED,Unknown Peidgree,,,,,
1789,DelawareExperimentalInbred,Ames27109,Ames 27109,Other,unclassified,0,0,0,0,0,INBRED,,,,,,
1798,E2558W,Ames27110,Ames 27110,Other,unclassified,0,0,0,0,0,0,0,,,,,
1739,EP1,Ames27111,Ames 27111,Spain,unclassified,0,Lizargarate,0,0,0,INBRED,,,,,,
1908,F2834T,Ames27112,Ames 27112,Other,unclassified,0,0,0,0,0,0,0,,,,,
448,GT112,Ames27113,Ames 27113,Other,unclassified,1957,GT112_1,GT112_1,0,0,INBRED,0,,,,,
157,H91,Ames27114,Ames 27114,Other,unclassified,1,H91_4,B14,0,0,INBRED,0,,,,,
2460,I137TN,Ames27116,Ames 27116,Other,unclassified,0,NATYHTOOTH,TEKOYELLOW,0,0,0,NATYHTOOTH/TEKO YELLOW,,,,,
1378,K64,Ames27121,Ames 27121,Other,unclassified,1,PrideofSaline(white strain),PrideofSaline(white strain),0,3,INBRED,0,,,,,
2524,K148,Ames27122,Ames 27122,Other,unclassified,1,PrideofSaline(yellow strain),PrideofSaline(yellow strain),1,1,INBRED,0,,,,,
2535,Ki3,Ames27123,Ames 27123,Thailand,tropical,0,Suwan1,Suwan1,0,0,INBRED,0,,,,,
2531,Ki11,Ames27124,Ames 27124,Thailand,tropical,0,Suwan1,Suwan1,0,0,INBRED,0,,,,,
2534,Ki21,Ames27125,Ames 27125,Thailand,tropical,0,0,0,0,0,INBRED,Pacific_9-S8-45,,,,,
2536,Ki43,Ames27126,Ames 27126,Thailand,tropical,0,Suwan3,Suwan3,0,0,INBRED,0,,,,,
2540,KUI2007,Ames27128,Ames 27128,Thailand,tropical,0,Suwan1,Suwan1,0,0,INBRED,Suwan 1; DeKalb version of Ki3,,,,,Ask Major about pedigree
2541,KUI2021,Ames27129,Ames 27129,Thailand,tropical,0,Suwan1,Suwan1,0,0,INBRED,0,,,,,
2544,Ky21,Ames27130,Ames 27130,Other,unclassified,1,BooneCountyWhite,BooneCountyWhite,2,2,INBRED,0,,,,,
2545,Ky226,Ames27131,Ames 27131,Other,unclassified,1,NCIaDDC,Coahuila 8,1,1,INBRED,0,,,,,
2556,L578,Ames27132,Ames 27132,Other,unclassified,0,LouisianaYellowDent,LouisianaYellowDent,0,0,INBRED,Louisiana_Yellow_Dent,,,,,
2635,M37W,Ames27133,Ames 27133,South Africa,unclassified,0,AUSTRALIA,JELLICORSE,0,0,0,0,,,,,
2634,M162W,Ames27134,Ames 27134,Other,unclassified,0,0,0,0,0,0,"KwaZulu-Natal, South Africa.",,,,,
2642,MEF156-55-2,Ames27135,Ames 27135,Other,unclassified,0,0,0,0,0,INBRED,MEF156-55-2,,,,,
2736,N6,Ames27137,Ames 27137,Other,unclassified,1,HaysGolden,HaysGolden,1,1,INBRED,0,,,,,
2919,N28Ht,Ames27138,Ames 27138,Other,stiff stalk,0,N28,0,0,0,INBRED,Ht version of N28,,,,,
2732,NC33,Ames27139,Ames 27139,North Carolina,unclassified,1,WeekleyImproved,WeekleyImproved,1,1,Open Pollinated Variety,0,,,,,
3036,NC260,Ames27140,Ames 27140,North Carolina,non-stiff stalk,0,NC260_3,Mo44,0,0,INBRED,[(Mo44 X Mo17) Mo44 (3)],,,,,
3068,NC290A,Ames27141,Ames 27141,North Carolina,unclassified,0,McNair14,McNair18,0,0,INBRED,0,,,,,
3070,NC292,Ames27142,Ames 27142,North Carolina,stiff stalk,0,B73,NC292_1,0,0,INBRED,0,,,,,
3071,NC294,Ames27143,Ames 27143,North Carolina,unclassified,0,B73,NC252_2,0,0,INBRED,0,,,,,
3074,NC296,Ames27144,Ames 27144,North Carolina,unclassified,0,H5,PX105,0,0,INBRED,Pioneer X105A X H-5,,,,,
3075,NC296A,Ames27145,Ames 27145,North Carolina,unclassified,0,H5,PX105,0,0,INBRED,0,,,,,
3083,NC300,Ames27146,Ames 27146,North Carolina,unclassified,0,NC300_1,NC300_2,0,0,INBRED,Line from Pioneer X 105A X line from Pioneer X 306B X H-5,,,,,
3085,NC302,Ames27147,Ames 27147,North Carolina,unclassified,1994,NC298_2,H101,0,0,INBRED,(Pioneer X105A x H5) x H101,,,,,
3086,NC304,Ames27148,Ames 27148,North Carolina,unclassified,1994,NC298_2,H101,0,0,INBRED,0,,,,,
3087,NC306,Ames27149,Ames 27149,North Carolina,unclassified,1994,B73,NC252_2,0,0,INBRED,0,,,,,
3088,NC308,Ames27150,Ames 27150,North Carolina,unclassified,1994,NC252_2,NC252_2,0,0,INBRED,0,,,,,
3089,NC310,Ames27151,Ames 27151,North Carolina,unclassified,1997,NC250,B73,0,0,INBRED,0,,,,,
3090,NC312,Ames27152,Ames 27152,North Carolina,unclassified,1994,B73,NC252_2,0,0,INBRED,0,,,,,
3091,NC314,Ames27153,Ames 27153,North Carolina,unclassified,1994,NC250,B73,0,0,INBRED,0,,,,,
3092,NC316,Ames27154,Ames 27154,North Carolina,unclassified,1994,B73Ht1 rhm1,NC250,0,0,INBRED,0,,,,,
3096,NC318,Ames27155,Ames 27155,North Carolina,unclassified,1994,SC76,NC318_3,0,0,INBRED,SC76^4 x B52,,,,,
3097,NC320,Ames27156,Ames 27156,North Carolina,unclassified,1994,SC76,NC318_3,0,0,INBRED,0,,,,,
3098,NC322,Ames27157,Ames 27157,North Carolina,unclassified,1996,SC76,NC318_3,0,0,INBRED,SC76^4 x B52; derived from same S2 parent as NC318,,,,,
3099,NC324,Ames27158,Ames 27158,North Carolina,unclassified,1996,NC250,B73,0,0,INBRED,B73 x NC250; shares same S6 family as NC270..,,,,,
3100,NC326,Ames27159,Ames 27159,North Carolina,unclassified,1996,B73,NC292_1,0,0,INBRED,"(B73 x NC250) x B73^3; shares a common BC3F1 family with NC292, NC328, and NC330",,,,,
3101,NC328,Ames27160,Ames 27160,North Carolina,stiff stalk,1996,B73,NC292_1,0,0,INBRED,"(B73 x NC250) x B73^3; shares a common BC3F1 family with NC292, NC326, and NC330",,,,,
1014,NC330,Ames27161,Ames 27161,North Carolina,stiff stalk,0,NC250,B73,0,0,INBRED,BC5 to B73 selfed,,,,,
3102,NC332,Ames27162,Ames 27162,North Carolina,unclassified,1997,SC76,B52,0,0,INBRED,0,,,,,
3103,NC334,Ames27163,Ames 27163,North Carolina,unclassified,1997,SC76,B52,0,0,INBRED,0,,,,,
3104,NC336,Ames27164,Ames 27164,North Carolina,unclassified,1997,PX105A,H5,0,0,INBRED,Derived from Pioneer 105A x H5. Both are hybrids,,,,,
3109,NC338,Ames27165,Ames 27165,North Carolina,unclassified,1997,NC338_1,NC338_2,0,0,INBRED,Derived from an experimental line from Pioneer X105A x H5 crossed with an experimental line derived from Pioneer 304B x Agroceres 504.,,,,,
3113,NC340,Ames27166,Ames 27166,North Carolina,unclassified,0,NC340_1,NC340_3,0,0,INBRED,Derived from an experimental line from Pioneer X105A crossed with an experimental line from Pioneer 306A x H5,,,,,
3114,NC342,Ames27167,Ames 27167,North Carolina,unclassified,1997,McNair14,McNair18,0,0,INBRED,0,,,,,
3115,NC344,Ames27168,Ames 27168,North Carolina,unclassified,1998,TZ,NC258_3,0,0,INBRED,NC344 is a sister line of NC258.,,,,,
3116,NC346,Ames27169,Ames 27169,North Carolina,unclassified,1998,PX105A,H5,0,0,INBRED,0,,,,,
3120,NC348,Ames27170,Ames 27170,North Carolina,unclassified,1998,NC348_1,NC348_2,0,0,INBRED,0,,,,,
3122,NC350,Ames27171,Ames 27171,North Carolina,unclassified,1998,NC298_2,NC350_1,0,0,INBRED,Pioneer_X105A / H5 // H101,,,,,
3123,NC352,Ames27172,Ames 27172,North Carolina,unclassified,1998,PX105A,H5,0,0,INBRED,0,,,,,
3127,NC354,Ames27173,Ames 27173,North Carolina,unclassified,0,NC354_1,NC354_2,0,0,INBRED,Derived from an experimental line sharing the pedigree of NC296 crossed to an experimental line derived from Pioneer X304A x H101,,,,,
3129,NC356,Ames27174,Ames 27174,North Carolina,unclassified,1999,TROPHY,TROPHY,0,0,INBRED,Recurrent selection from an all-tropical hybrid synthetic TROPHY,,,,,
3130,NC358,Ames27175,Ames 27175,North Carolina,unclassified,1999,TROPHY,TROPHY,0,0,INBRED,0,,,,,
3132,NC360,Ames27176,Ames 27176,North Carolina,unclassified,1999,NC262,NC360_1,0,0,INBRED,0,,,,,
3133,NC362,Ames27177,Ames 27177,North Carolina,unclassified,1999,NC262,NC360_1,0,0,INBRED,0,,,,,
3134,NC364,Ames27178,Ames 27178,North Carolina,unclassified,1999,NC262,NC360_1,0,0,INBRED,0,,,,,
3136,NC366,Ames27179,Ames 27179,North Carolina,unclassified,1999,FS8A_T,FS8A_T,0,0,INBRED,Derived from B73 x NC250-type materials,,,,,
3137,NC368,Ames27180,Ames 27180,North Carolina,unclassified,1999,B73,NC250,0,0,INBRED,0,,,,,
3138,NC370,Ames27181,Ames 27181,North Carolina,unclassified,1999,SC76,B52,0,0,INBRED,0,,,,,
3139,NC372,Ames27182,Ames 27182,North Carolina,unclassified,1999,B73,PA91,0,0,INBRED,0,,,,,
3277,Oh43E,Ames27183,Ames 27183,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,
3330,Pa762,Ames27184,Ames 27184,Other,non-stiff stalk,1970,Oh43, Pa70L,2,5,INBRED,0,,,,,
3340,Pa875,Ames27185,Ames 27185,Other,stiff stalk,0,PAWF9,PAWF9,0,0,0,0,,,,,
3536,R4,Ames27187,Ames 27187,Other,unclassified,0,FunkYellowDent,FunkYellowDent,0,0,INBRED,0,,,,,
3647,SC55,Ames27189,Ames 27189,Other,unclassified,0,SC55_1,SC55_2,0,0,INBRED,[(L501 X L503) X (L548 X L569)],,,,,
3752,T234,Ames27190,Ames 27190,Other,unclassified,0,T111,T234_5,0,0,INBRED,[T111 X (RB.L X Ill.A)] T111 (4),,,,,
3967,U267Y,Ames27191,Ames 27191,Other,unclassified,0,0,0,0,0,INBRED,unknown Pedigree,,,,,
3971,Va14,Ames27192,Ames 27192,Other,unclassified,0,Va14_1,Va17,0,0,INBRED,[(VaCBS Selection X Va17) Va17],,,,,
4000,Va85,Ames27193,Ames 27193,Other,unclassified,1,VirginiaLongEarSynthetic,VirginiaLongEarSynthetic,2,2,INBRED,0,,,,,
4028,WD,Ames27195,Ames 27195,Wisconsin,unclassified,1,WisconsinNo25,WisconsinNo25,0,0,INBRED,0,,,,,
4049,Yu796_NS,Ames27196,Ames 27196,Other,unclassified,0,0,0,0,0,0,Unknown Pedigree,,,,,
1978,GEMN-0044,Ames27197,Ames 27197,GEM,non-stiff stalk,0,CHZM_05_015,0,0,0,INBRED,0,,,,,
1979,GEMN-0045,Ames27198,Ames 27198,GEM,non-stiff stalk,0,CHZM_05_015,0,0,0,INBRED,0,,,,,
1980,GEMN-0046,Ames27199,Ames 27199,GEM,non-stiff stalk,0,CHZM_05_015,0,0,0,INBRED,0,,,,,
1982,GEMN-0047,Ames27200,Ames 27200,GEM,non-stiff stalk,0,URZM_13_085,0,0,0,INBRED,0,,,,,
1984,GEMN-0048,Ames27201,Ames 27201,GEM,non-stiff stalk,0,DKXL370,0,0,0,INBRED,DKXL370:N11a20-31-1-B-B,,,,,
2116,GEMS-0049,Ames27202,Ames 27202,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2117,GEMS-0050,Ames27203,Ames 27203,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2118,GEMS-0051,Ames27204,Ames 27204,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2119,GEMS-0052,Ames27205,Ames 27205,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2120,GEMS-0053,Ames27206,Ames 27206,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2121,GEMS-0054,Ames27207,Ames 27207,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2122,GEMS-0055,Ames27208,Ames 27208,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
1986,GEMN-0056,Ames27209,Ames 27209,GEM,non-stiff stalk,0,FS8B(T),0,0,0,INBRED,0,,,,,
1988,GEMN-0057,Ames27210,Ames 27210,GEM,non-stiff stalk,0,ARZM_01_150,0,0,0,INBRED,0,,,,,
1989,GEMN-0058,Ames27211,Ames 27211,GEM,non-stiff stalk,0,ARZM_01_150,0,0,0,INBRED,0,,,,,
1991,GEMN-0059,Ames27212,Ames 27212,GEM,non-stiff stalk,0,SaintCroix1,0,0,0,INBRED,0,,,,,
1993,GEMN-0060,Ames27213,Ames 27213,GEM,non-stiff stalk,0,Chiapas ,0,0,0,INBRED,0,,,,,
2123,GEMS-0061,Ames27214,Ames 27214,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2124,GEMS-0062,Ames27215,Ames 27215,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2125,GEMS-0063,Ames27216,Ames 27216,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2126,GEMS-0064,Ames27217,Ames 27217,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2127,GEMS-0065,Ames27218,Ames 27218,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
2128,GEMS-0066,Ames27219,Ames 27219,GEM,stiff stalk,0,0,0,0,0,INBRED,0,,,,,
1453,CML11,Ames27258,Ames 27258,Mexico,tropical,0,Pop21,0,0,0,INBRED,Pob21C5HC219-3-2-2-3-#-7-1-B-4-1-B,,,,,
2532,Ki14,Ames27259,Ames 27259,Thailand,tropical,0, Suwan1,Suwan1,0,0,INBRED,0,,,,,
2537,Ki44,Ames27260,Ames 27260,Thailand,tropical,0,0,0,0,0,INBRED,Kui44 Dekalb version of ?,,,,,
2542,KUI44,Ames27260,Ames 27260,Thailand,tropical,0,0,0,0,0,0,same as Ki44,,,,,
3079,NC298,Ames27261,Ames 27261,North Carolina,unclassified,1992,NC298_1,NC298_2,0,0,INBRED,Line from Agroceres 155 X line from Pioneer X 105A X H-5,,,,,
2570,LH143Maintainer,Ames27450,Ames 27450,Other,stiff stalk,0,0,0,0,0,Holdens PVP Line,LH123 with restorer genes,,,,,
881,A632.75A1A2C1R1-rB1Pl1,Ames27451,Ames 27451,Other,stiff stalk,0,A632,0,0,0,0,0,,,,,
855,A619E,Ames28170,Ames 28170,Minnesota,non-stiff stalk,0,0,0,0,0,INBRED,HT version of A619,,,,,
1702,CML69,Ames28184,Ames 28184,Mexico,tropical,0,Pop36,0,0,0,INBRED,P36C5F37-2-1-1-b1#b1-b1#b1-b1,,,,,
1703,CML77,Ames28185,Ames 28185,Mexico,tropical,0,Pop32,0,0,0,INBRED,G32C19MH32-1-#1-5-1-###,,,,,
1306,C49,Ames28290,Ames 28290,Other,unclassified,0,0,0,0,0,0,From Major Goodman NCSU,,,,,
2337,Hi27Goodman-Buckler,Ames28291,Ames 28291,Other,unclassified,0,0,0,0,0,INBRED,0,sib-line inbred produced by the Rockefeller Foundationâ€™s Cooperative Maize program in India.,,,,
