,Pedigree information,,,,,,Maturity indicators,,,,,,,,Disease resistance (1-5),,,,,,,,,,,,,,Insect resistance,,,,,Herbicide,Plant characteristics,,,,,,,,,,,,,Ear characteristics,,,,,,Grain characteristics,,,,,,,Combining ability for yield,,,,,,,Descriptive Remarks,,
148,,G23Q,G23QMH19-1-1-B-1-2-B-B-B-B-#,G23Q-HS19-1-1-B-1-2-B,G23QH19-1-1-B-1-2-BBBB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,8.6,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
149,,G24Q,G24QMH159-2-2-2-B-2-B-B-B-#-B,G24Q-HS159-2-2-2-B-2-B,G24QH159-2-2-2-B-2-BBB-#-B,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,9.5,0.8,,,,,,,, ,,"H. maydis, P. polysora",1992,
150,,G24Q,G24QMH169-2-1-B-3-1-1-B-B-3-B-#-#-B,G24Q-HS169-2-1-B-3-1-1-B-B-3-B,G24QH169-2-1-B-3-1-1-BB-3-B-##-B,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,8.4,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
151,,P62,S8662Q-1-4-4-1-B-#,S8662Q-1-4-4-1-B,S8662Q-1-4-4-1-B-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,9.4,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
152,,P62,S8662Q-1-4-4-5-B-#,S8662Q-1-4-4-5-B,S8662Q-1-4-4-5-B-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,9.4,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
153,,P62,S8662Q-28-4-B-B-B-#,S8662Q-28-4-B,S8662Q-28-4-BBB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,12.1,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
154,,P62,[EV8762-SR]-17-1-B-B-#,EV8762SR-17-1-B,[EV8762SR]-17-1-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,9.5,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
155,,P62,Pob62c3HC163-2-1-3#-1-1-1-1-B-1-B-B-#,P62-C3-FS163-2-1-3-#-1-1-1-1-B-1-B,P62C3F163-2-1-3#-1-1-1-1-B-1-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,9.9,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
156,,P62,Pob62c3HC163-3-1-3-1-B-1-3-B-3-1-1-B-#,P62-C3-FS163-3-1-3-1-B-1-3-B-3-1-1-B,P62C3F163-3-1-3-1-B-1-3-B-3-1-1-B-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,9.0,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
157,,P62,Pob62c1HC24-5-3-2-1-B-2-1-1-B-#,P62-C1-FS24-5-3-2-1-B-2-1-1-B,P62C1F24-5-3-2-1-B-2-1-1-B-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,8.7,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
158,,P62,[EV8762-SR]-2-1-B-1-B-#,EV8762SR-2-1-B-1-B,[EV8762SR]-2-1-B-1-B-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,9.2,0.7,,,,,,,, ,,"H. maydis, P. polysora",1992,
159,,P63,Pob63c2HC5-1-3-1-B-2-1-1-B-#,P63-C2-FS5-1-3-1-B-2-1-1-B,P63C2F5-1-3-1-B-2-1-1-B-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,8.4,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
160,,P63,Pob63c2HC6-2-1-1-B-2-1-B-#,P63-C2-FS6-2-1-1-B-2-1-B,P63C2F6-2-1-1-B-2-1-B-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,10.6,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
161,,G25Q,G25Qc18MH520-1-1#-1-2#-5-3-B-1-B-B-B-B-#,G25Q-C18-HS520-1-1-#-1-2-#-5-3-B-1-B,G25QC18H520-1-1#-1-2#-5-3-B-1-BBBB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,11.2,0.8,,,,,,,, ,,"H. maydis, P. polysora",1992,
162,,G25Q,G25Qc1HC18-8-1-2-B-B-2-B-B-B,G25Q-C1-FS18-8-1-2-B-B-2-B,G25QC1F18-8-1-2-BB-2-BBB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,10.5,1.1,,,,,,,, ,,"H. maydis, P. polysora",1992,
163,,G26Q,G26QMH31-2-2-#-2-2-1-B-1-B-B-#,G26Q-HS31-2-2-#-2-2-1-B-1-B,G26QH31-2-2-#-2-2-1-B-1-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,11.1,0.8,,,,,,,, ,,"H. maydis, P. polysora",1992,
164,,P65,Pob65c2HC193-2-7-2#-1-B-1-2-1-B-3-B-1-B-B,P65-C2-FS193-2-7-2-#-1-B-1-2-1-B-3-B-1-B,P65C2F193-2-7-2#-1-B-1-2-1-B-3-B-1-BB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,9.0,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
165,,P66,Pob66c1HC144-3-1-1-B-B-1-B-B-#,P66-C1-FS144-3-1-1-B-B-1-B,P66C1F144-3-1-1-BB-1-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,11.1,0.8,,,,,,,, ,,"H. maydis, P. polysora",1992,
166,,P66,Pob66c1HC215-4-1-2-B-B-2-B-B-B,P66-C1-FS215-4-1-2-B-B-2-B,P66C1F215-4-1-2-BB-2-BBB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,10.5,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
167,,G25Q,G25QSINT-37-3-2-2-B-B,G25QSINT-37-3-2-2-B,G25QSINT-37-3-2-2-BB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,11.1,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
168,,G26Q,G26QSINT-31-1-2-2-B-B,G26QSINT-31-1-2-2-B,G26QSINT-31-1-2-2-BB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,11.5,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
169,,G26Q,G26Qc22MH7-1-1-1-1-B-B,G26Q-C22-HS7-1-1-1-1-B,G26QC22H7-1-1-1-1-BB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,9.5,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
170,,G26Q,G26Qc22MH9-3-1-5-1-B-B,G26Q-C22-HS9-3-1-5-1-B,G26QC22H9-3-1-5-1-BB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,9.6,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
171,,G25Q,G25QS4B-MH13-5-B-1-1-2-B-1-B-B-B,G25Q-HS13-5-B-1-1-2-B-1-B,G25QS4B-H13-5-B-1-1-2-B-1-BBB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,10.9,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
172,,G25Q,G25QS4B-MH35-2-B-1-1-2-B-4-B-B-B-B,G25Q-HS35-2-B-1-1-2-B,G25QS4B-H35-2-B-1-1-2-B-4-BBBB,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,10.8,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
173,,P68,Pob68C1HC180-1-3-1-1-B-2-B-B,P68-C1-FS180-1-3-1-1-B-2-B,P68C1F180-1-3-1-1-B-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,8.3,0.8,,,,,,,, ,,,1992,
174,,P68,Pob68C1HC249-1-4-4-2-B-B,P68-C1-FS249-1-4-4-2-B,P68C1F249-1-4-4-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,9.1,1.0,,,,,,,, ,,,1992,
175,,P68,Pob68C0HC77-2-3-7-B-2-3-1-B-1-B-B,P68-C0-FS77-2-3-7-B-2-3-1-B-1-B,P68C0F77-2-3-7-B-2-3-1-B-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,8.6,0.9,,,,,,,, ,,,1992,
176,,REC,(P63-12-2-1/P67-5-1-1)-1-2-B-B,(P63-12-2-1/P67-5-1-1)-1-2-B,(P63-12-2-1/P67-5-1-1)-1-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,7.4,1.1,,,,,,,, ,,,1992,
177,,G32Q,G32MH84-2-2-1-1-B-B,G32-HS84-2-2-1-1-B,G32H84-2-2-1-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,10.3,0.8,,,,,,,, ,,,1992,
178,,G32Q,G32MH12-3-1-B-1-B-B,G32-HS12-3-1-B-1-B,G32H12-3-1-B-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,10.0,0.8,,,,,,,, ,,,1992,
179,,G32Q,G32MH85-2-1-B-2-B-B,G32-HS85-2-1-B-2-B,G32H85-2-1-B-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,10.2,0.9,,,,,,,, ,,,1992,
180,,G32Q,(G32Q/EV8444SRBC4)#-B-#-B-B-21-2-BB,((G32Q/EV8444SR)/G32Q/G32Q/G32Q/G32Q)-#-B-#-B-B-21-2-B,(G32Q/EV8444SRBC4)#-B-#-BB-21-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,9.2,1.0,,,,,,,, ,,,1992,
181,,,UWO417-B-2-1-1-B-B,UWO417-B-2-1-1-B,UWO417-B-2-1-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,8.8,0.9,,,,,,,, ,,,1992,
182,,,WOMTA1-B-1-1-1-B-B,WOMTA1-B-1-1-1-B,WOMTA1-B-1-1-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,10.4,0.9,,,,,,,, ,,,1992,
183,,G32Q,G32QMH36-3-2-2-1-1-B-B,G32Q-HS36-3-2-2-1-1-B,G32QH36-3-2-2-1-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,12.4,0.9,,,,,,,, ,,,1992,
184,,G32Q,G32QMH30-2-2-B-1-B-B,G32Q-HS30-2-2-B-1-B,G32QH30-2-2-B-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,12.2,0.8,,,,,,,, ,,,1992,
185,,P68,Pob68C1HC221-3-3-2-3-B-B-B,P68-C1-FS221-3-3-2-3-B,P68C1F221-3-3-2-3-BBB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,11.0,0.8,,,,,,,, ,,,1992,
186,,P67,Pob67C2HC26-1-2-1-B-B,P67-C2-FS26-1-2-1-B,P67C2F26-1-2-1-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,8.2,1.0,,,,,,,, ,,,1992,
187,,G33Q,G33QMH2-1-1-2-B-B,G33Q-HS2-1-1-2-B,G33QH2-1-1-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,10.6,0.9,,,,,,,, ,,,1992,
188,,G33Q,G33QMH2-1-2-2-B-B,G33Q-HS2-1-2-2-B,G33QH2-1-2-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,8.3,0.9,,,,,,,, ,,,1992,
189,,G34Q,G34QMH17-2-1-1-B,G34Q-HS17-2-1-1-B,G34QH17-2-1-1-B,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,10.4,1.0,,,,,,,, ,,,1992,
190,,G34Q,G34QMH103-1-1-2-B,G34Q-HS103-1-1-2-B,G34QH103-1-1-2-B,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,12.6,0.8,,,,,,,, ,,,1992,
191,,G34Q,G34QMH146-1-1-4-B,G34Q-HS146-1-1-4-B,G34QH146-1-1-4-B,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,F,Yes,9.4,1.0,,,,,,,, ,,,1992,
192,,G34Q,G34QMH174-3-1-2-B-B,G34Q-HS174-3-1-2-B,G34QH174-3-1-2-BB,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,9.9,0.8,,,,,,,, ,,,1992,
193,,,CYO162-B-1-1-B,CYO162-B-1-1-B,CYO162-B-1-1-B,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,9.3,0.9,,,,,,,, ,,,1992,
194,,,UYO11-3-2-1-B,UYO11-3-2-1-B,UYO11-3-2-1-B,Subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,D,Yes,8.4,0.9,,,,,,,, ,,,1992,
195,,,100MSR,100MSR,100MSR,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,100,,0.56,,,,,,,,,,,,,,,W,SF,No,,,,,,,,,,B,,"MSV, E. turcicum, P. sorghi",1992,
196,,,MSR129-2S3-4-1-b-b,MSR-129-2-B*3-4-1-B,MSR129-2S3-4-1-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,100,,0.56,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
197,,,MSR270-2S3-5-1-b-b,MSR-270-2-B*3-5-1-B,MSR270-2S3-5-1-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,100,,0.59,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
198,,,MSR308-5S3-5-1-b-b,MSR-308-5-B*3-5-1-B,MSR308-5S3-5-1-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,60,,0.46,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,AB,,"MSV, E. turcicum, P. sorghi",1992,
199,,,MSR76-1S3-3-3-b-b,MSR-76-1-B*3-3-3-B,MSR76-1S3-3-3-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,70,,0.50,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,B,,"MSV, E. turcicum, P. sorghi",1992,
200,,,MSR78-5S3-3-1-b-b,MSR-78-5-B*3-3-1-B,MSR78-5S3-3-1-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,100,,0.56,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
201,,,MSR85-1S3-1-1-b-b,MSR-85-1-B*3-1-1-B,MSR85-1S3-1-1-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,70,,0.47,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,B,,"MSV, E. turcicum, P. sorghi",1992,
202,,,ZSR923S4BULK-5-1-b-b,ZSR923-B*4-5-1-B,ZSR923S4BULK-5-1-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,80,,0.57,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,B TESTER,,"MSV, E. turcicum, P. sorghi",1992,
203,,,[7480{TZVAR}/TZSR]-Y-1-345-1-1-1-1-S5-2-5-4-4-4-b-b,(7480TZVAR/TZSR)-Y-1-345-1-1-1-1-B*5-2-5-4-4-4-B,[7480{TZVAR}/TZSR]-Y-1-345-1-1-1-1-S5-2-5-4-4-4-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,60,,0.43,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
204,,,[7794]-SELF-4-1-S9-1-4-7-4-5-b-b,7794-4-1-B*9-1-4-7-4-5-B,[7794]-SELF-4-1-S9-1-4-7-4-5-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,100,,0.63,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,B,,"MSV, E. turcicum, P. sorghi",1992,
205,,,[EMSR]#B#bF101sr-2-1-sr-3-2-4-b-b,EMSR-#-B-#-B-F101SR-2-1SR-3-2-4-B,[EMSR]#B#BF101SR-2-1SR-3-2-4-BB,Africa MA/ST,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,100,,0.56,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,B,,"MSV, E. turcicum, P. sorghi",1992,
206,,REC,[EV7992#/EVPO44-SRBC3]#bF37sr-2-3-sr-2-4-3-b-b,((EV7992/EVP44SR)/EV7992/EV7992/EV7992)-#-B-F37SR-2-3SR-2-4-3-B,[EV7992#/EVPO44SRBC3]#BF37SR-2-3SR-2-4-3-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,60,,0.50,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,A TESTER,,"MSV, E. turcicum, P. sorghi",1992,
207,,REC,[EV7992#/EVPO44-SRBC3]#bF37sr-2-3-sr-3-5-2-b-b,((EV7992/EVP44SR)/EV7992/EV7992/EV7992)-#-B-F37SR-2-3SR-3-5-2-B,[EV7992#/EVPO44SRBC3]#BF37SR-2-3SR-3-5-2-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,70,,0.47,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
208,,P92,[EV7992]#B#B-64-4-2-4-2-b-b,EV7992-#-B-#-B-64-4-2-4-2-B,[EV7992]#B#B-64-4-2-4-2-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,90,,0.56,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
209,,P92,[EV7992]#B#B-99-1-1-1-6-b-b,EV7992-#-B-#-B-99-1-1-1-6-B,[EV7992]#B#B-99-1-1-1-6-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,80,,0.50,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,B,,"MSV, E. turcicum, P. sorghi",1992,
210,,P43,[EV8443-SR-BC4]-39-1-2sr-4-2-2-b-b,((EV8443/SR)/EV8443/EV8443/EV8443/EV8443)-39-1-2SR-4-2-2-B,[EV8443SR-BC4]-39-1-2SR-4-2-2-BB,Africa MA/ST,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,100,,0.50,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,A,,"MSV, P. sorghi",1992,
211,,REC,[EV8449-SR/POP62]#bF4sr-1-3sr-4-1-2-b-b,(EV8449SR/P62)-#-B-F4SR-1-3SR-4-1-2-B,[EV8449SR/POP62]#BF4SR-1-3SR-4-1-2-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,100,,0.63,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
212,,REC,[EVPOP30-SRBC2/SR52]#b-1-2sr-1-3-3-b-b,((EVP30SR/SR52)/SR52/SR52)-#-B-1-2SR-1-3-3-B,[EVPOP30SRBC2/SR52]#B-1-2SR-1-3-3-BB,Africa MA/ST,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,90,,0.64,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,B,,"MSV, P. sorghi",1992,
213,,REC,[EVPOP30-SRBC2/ZS206]#b-121-2sr-2-2-1-b-b,((EVP30SR/ZS206)/ZS206/ZS206)-#-B-121-2SR-2-2-1-B,[EVPOP30SRBC2/ZS206]#B-121-2SR-2-2-1-BB,Africa MA/ST,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,70,,0.50,,,,,,,,,,,,,,,W,SD,No,,,,,,,,,,B,,"MSV, P. sorghi",1992,
214,,,[MSR:121]-1-2-3-3-b-b,MSR-121-1-2-3-3-B-B,[MSR:121]-1-2-3-3-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,90,,0.53,,,,,,,,,,,,,,,W,SF,No,,,,,,,,,,AB,,"MSV, E. turcicum, P. sorghi",1992,
215,,,[MSR:123]-2-11-1-7-b-b,MSR-123-2-11-1-7-B,[MSR:123]-2-11-1-7-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,100,,0.53,,,,,,,,,,,,,,,W,SF,No,,,,,,,,,,A,,"MSV, E. turcicum, P. sorghi",1992,
216,,,[MSR:131]-3-3-3-5-b-b,MSR-131-3-3-3-5-B,[MSR:131]-3-3-3-5-BB,Africa MA/ST,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,100,,0.59,,,,,,,,,,,,,,,W,SF,No,,,,,,,,,,AB,,"MSV, E. turcicum, P. sorghi",1992,
217,,P31,[EV8431/SR(BC4)]-20-3-2-3-#-b,((EV8431/SR)/EV8431/EV8431/EV8431/EV8431)-20-3-2-3-B,[EV8431/SR(BC4)]-20-3-2-3-#-B,Africa Lowland,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,A,,MSV,1992,
218,,P30,[EV8730-SR(BC6)]-47-1-1-4-#-b,((EV8730/SR)/EV8730/EV8730/EV8730/EV8730/EV8730/EV8730)-47-1-1-4-B,[EV8730SR(BC6)]-47-1-1-4-#-B,Africa Lowland,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,AB,,MSV,1992,
219,,P30,[EV8730-SR(BC6)]-171-1-1-2-#-b,((EV8730/SR)/EV8730/EV8730/EV8730/EV8730/EV8730/EV8730)-171-1-1-2-B,[EV8730SR(BC6)]-171-1-1-2-#-B,Africa Lowland,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,B,,MSV,1992,
220,,P30,[EV8730-SR(BC6)]-324-1-1-2-#-b,((EV8730/SR)/EV8730/EV8730/EV8730/EV8730/EV8730/EV8730)-324-1-1-2-B,[EV8730SR(BC6)]-324-1-1-2-#-B,Africa Lowland,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,B,,MSV,1992,
221,,P30,[AC8730-SR]-13-1-1-1-#-b,AC8730SR-13-1-1-1-B,[AC8730SR]-13-1-1-1-#-B,Africa Lowland,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,B,,MSV,1992,
222,,P30,[AC8730-SR]-15-1-1-4-#-b,AC8730SR-15-1-1-4-B,[AC8730SR]-15-1-1-4-#-B,Africa Lowland,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,B,,MSV,1992,
223,,SUWAN1,EV88SUWAN1-SR(BC5)-3-1-2-b-b,((EV88SUWAN1/SR)/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1)-3-1-2-B,EV88SUWAN1SR(BC5)-3-1-2-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,AB,,MSV,1992,
224,,SUWAN1,EV88SUWAN1-SR(BC5)-20-1-2-b-b,((EV88SUWAN1/SR)/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1)-20-1-2-B,EV88SUWAN1SR(BC5)-20-1-2-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,AB,,MSV,1992,
225,,SUWAN1,EV88SUWAN1-SR(BC5)-62-1-1-b-b,((EV88SUWAN1/SR)/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1)-62-1-1-B,EV88SUWAN1SR(BC5)-62-1-1-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,AB,,MSV,1992,
226,,SUWAN1,EV88SUWAN1-SR(BC5)-78-1-1-b-b,((EV88SUWAN1/SR)/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1)-78-1-1-B,EV88SUWAN1SR(BC5)-78-1-1-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,AB,,MSV,1992,
